set	gene
Neurogenic_drivers	ASCL1
Neurogenic_drivers	ASCL2
Neurogenic_drivers	ATOH1
Neurogenic_drivers	ATOH7
Neurogenic_drivers	NEUROG1
Neurogenic_drivers	NEUROG2
Neurogenic_drivers	NEUROG3
Neurogenic_drivers	NEUROD1
Neurogenic_drivers	NEUROD2
Neurogenic_drivers	NEUROD4
Neurogenic_drivers	NEUROD6
Neurogenic_drivers	NHLH1
Neurogenic_drivers	NHLH2
Neurogenic_drivers	INSM1
Neurogenic_drivers	INSM2
Neurogenic_drivers	EOMES
Neurogenic_drivers	TBR1
Neurogenic_drivers	TBR2
Neurogenic_drivers	BCL11B
Neurogenic_drivers	SATB2
Neurogenic_drivers	RELN
Neurogenic_drivers	DCX
Neurogenic_drivers	DCLK1
Neurogenic_drivers	DCLK2
Neurogenic_drivers	TUBB3
Neurogenic_drivers	MAP2
Neurogenic_drivers	RBFOX3
Neurogenic_drivers	ELAVL2
Neurogenic_drivers	ELAVL3
Neurogenic_drivers	ELAVL4
Neurogenic_drivers	STMN2
Neurogenic_drivers	STMN3
Neurogenic_drivers	SNAP25
Neurogenic_drivers	SYN1
Neurogenic_drivers	SYN2
Neurogenic_drivers	SYT1
Neurogenic_drivers	SYT2
Neurogenic_drivers	SCG2
Neurogenic_drivers	SCG3
Neurogenic_drivers	GAP43
Neurogenic_drivers	NRN1
Neurogenic_drivers	CNTN1
Neurogenic_drivers	CNTN2
Neurogenic_drivers	ROBO1
Neurogenic_drivers	ROBO2
Neurogenic_drivers	ROBO3
Neurogenic_drivers	ROBO4
Neurogenic_drivers	SEMA3A
Neurogenic_drivers	SEMA3C
Neurogenic_drivers	SEMA3F
Neurogenic_drivers	SEMA6A
Neurogenic_drivers	POU3F2
Neurogenic_drivers	POU3F3
Neurogenic_drivers	MYT1
Neurogenic_drivers	MYT1L
Neurogenic_drivers	PRDM8
Neurogenic_drivers	PROX1
Neurogenic_drivers	FOXG1
Neurogenic_drivers	LHX1
Neurogenic_drivers	LHX2
Neurogenic_drivers	LHX6
Neurogenic_drivers	ISL1
Neurogenic_drivers	DLX1
Neurogenic_drivers	DLX2
Neurogenic_drivers	DLX5
Neurogenic_drivers	DLX6
Neurogenic_drivers	GAD1
Neurogenic_drivers	GAD2
Neurogenic_drivers	SLC17A6
Neurogenic_drivers	SLC17A7
Neurogenic_drivers	CALB1
Neurogenic_drivers	CALB2
Neurogenic_drivers	GRIN1
Neurogenic_drivers	GRIN2A
Neurogenic_drivers	GRIN2B
Neurogenic_drivers	GRIA1
Neurogenic_drivers	GRIA2
Neurogenic_drivers	GRIA3
Neurogenic_drivers	GRIA4
Neurogenic_drivers	GABRA1
Neurogenic_drivers	GABRB2
Neurogenic_drivers	GABRG2
Neurogenic_drivers	CAMK2A
Neurogenic_drivers	CAMK2B
Neurogenic_drivers	BEX1
Neurogenic_drivers	BEX2
Neurogenic_drivers	BEX3
Neurogenic_drivers	RND2
Neurogenic_drivers	RGS4
Neurogenic_drivers	RGS8
Neurogenic_drivers	SOX11
Neurogenic_drivers	SOX4
Neurogenic_drivers	ZEB2
Neurogenic_drivers	FEZF2
Neurogenic_drivers	CUX1
Neurogenic_drivers	CUX2
Neurogenic_drivers	BHLHE22
Neurogenic_drivers	NEUROF1
Progenitor_maintenance	SOX1
Progenitor_maintenance	SOX2
Progenitor_maintenance	SOX3
Progenitor_maintenance	SOX9
Progenitor_maintenance	PAX6
Progenitor_maintenance	PAX3
Progenitor_maintenance	PAX7
Progenitor_maintenance	EMX1
Progenitor_maintenance	EMX2
Progenitor_maintenance	OTX1
Progenitor_maintenance	OTX2
Progenitor_maintenance	LHX2
Progenitor_maintenance	HES1
Progenitor_maintenance	HES5
Progenitor_maintenance	HEY1
Progenitor_maintenance	HEY2
Progenitor_maintenance	NOTCH1
Progenitor_maintenance	NOTCH2
Progenitor_maintenance	NOTCH3
Progenitor_maintenance	NOTCH4
Progenitor_maintenance	DLL1
Progenitor_maintenance	DLL3
Progenitor_maintenance	DLL4
Progenitor_maintenance	JAG1
Progenitor_maintenance	JAG2
Progenitor_maintenance	RBPJ
Progenitor_maintenance	MAML1
Progenitor_maintenance	MAML2
Progenitor_maintenance	MAML3
Progenitor_maintenance	ID1
Progenitor_maintenance	ID2
Progenitor_maintenance	ID3
Progenitor_maintenance	ID4
Progenitor_maintenance	HMGA2
Progenitor_maintenance	PROM1
Progenitor_maintenance	NES
Progenitor_maintenance	VIM
Progenitor_maintenance	FABP7
Progenitor_maintenance	MSI1
Progenitor_maintenance	MSI2
Progenitor_maintenance	GLI1
Progenitor_maintenance	GLI2
Progenitor_maintenance	GLI3
Progenitor_maintenance	RFX3
Progenitor_maintenance	RFX4
Progenitor_maintenance	FOXJ1
Progenitor_maintenance	HOPX
Progenitor_maintenance	ZIC1
