source,interaction,target
TAL1,1,NKX3-1
IGF2,1,IGF1R
OPRM1,1,GNB2
LRRK2,1,MAP2K3
LRRK2,1,MAP2K4
TLR4,1,TIRAP
TLR4,1,TICAM2
TICAM2,1,TICAM1
JAK1,1,SHC1
TRAF6,1,MAP3K7
TICAM1,1,TRAF6
RCAN1,-1,PPP3CA
NOS1,-1,NFKBIA
TLR3,1,TICAM1
MYD88,1,IRAK4
GSK3B,1,RCAN1
LRRK2,1,MAP2K7
LRRK2,1,MAP2K6
ATG14,1,BECN1
SIRT2,-1,FOXO1
CARD8,-1,CASP9
CARD8,-1,APAF1
CASP1,-1,CARD8
TP53,-1,BCL2
CFLAR,-1,ATG3
RPS6KA3,-1,BAD
DAPK1,-1,BCL2
CDK1,1,BIRC5
GAPDH,-1,RHEB
CALM2,1,RAC1
TP53,1,VDR
TP53,1,TSC2
MIR17HG,-1,BCL2
GAPDH,1,APEX1
BIRC2,1,ERC1
APLF,1,PARP1
JUN,1,PPM1D
SMAD2,1,CREB1
BTRC_CUL1_SKP1,-1,CLSPN
ATM,-1,TRIM28
CCNA2_CDK2,1,BRCA1
IKBKE,1,RELA
GSK3B,1,AXIN1
CSNK1A1,-1,PRKN
E2F7,-1,SP1
GSK3B,1,LRP6
GNAQ,-1,GSK3B
BTRC_CUL1_SKP1,-1,WEE1
MAPK8,-1,YWHAZ
BCL2,-1,BECN1
CHEK2,-1,CDC25A
PLK1,-1,WEE1
HMGA2,1,ATM
ATM,1,HMGA2
PPP3CA_PPP3R1,1,BAD
BTRC_CUL1_SKP1,-1,CDC25A
CDK5,-1,PRKN
CSNK1A1,-1,CTNNB1
CSNK1A1,-1,CDC25A
ERBB2,1,GRAP
CHEK1,1,TP53
E2F1,1,CASP3
TP53,1,PERP
PPARG,1,KMT5A
TP53,1,MMP2
E2F1,1,XPC
TP53,1,MET
TP53,1,NLRC4
ATR,1,E2F1
YWHAQ,1,E2F1
E2F1,1,DDB2
ATM,-1,MDM2
MIR17HG,-1,NCOA3
DDX17,1,ESR1
DDX17,1,MDM2
TP53,1,RB1
SNCB,-1,TP53
TP53,-1,PTK2
TP53,1,PTEN
TP53,1,PRKAB1
SGK1,-1,FOXO3
SH3RF1,1,MAPK8
CHUK_IKBKB_IKBKG,-1,FOXO3
AKT1,-1,FOXO1
NR2F2,-1,CEBPA
YWHAQ,-1,RPTOR
NR2F2,-1,PPARG
DUSP16,1,MAPK8IP2
E2F1,1,CASP7
FOS_JUN,1,SPI1
TP53,1,SFN
TP53,1,COP1
MIR17HG,-1,CCND1
TP53,1,TP73
TP53,1,TP63
GSK3B,1,CCND1
ETS1,1,STAT1
STAT1,1,ICAM1
TP53,1,TNFRSF10A
TP53,1,TGFA
AXIN1,1,MYC
GSK3B,-1,MYC
CHEK1,-1,CDC25A
KAT7,1,H4C6
CASP8,1,CASP6
NCOA1,1,H4C6
CDK1,1,CSNK2B
DYRK2,1,TP53
TBK1,1,IRF7
RUNX1,1,IER3
MAVS,1,TBK1
NCOA3,1,H4C6
TLR5,1,MYD88
RIPK2,1,BCL10
NCOA2,1,H4C6
ATR,1,RFWD3
TNFRSF10A,1,FADD
