source,interaction,target
FLT3LG,1,FLT3
KITLG,1,KIT
TAL1,1,NKX3-1
IGF2,1,IGF1R
OPRM1,1,GNB2
ATM,1,STRAP
SMG1,1,TP53
CHEK2,1,STRAP
LRRK2,1,MAP2K3
LRRK2,1,MAP2K4
TLR2_TLR6,1,TIRAP
TLR4,1,TIRAP
KAT2B,1,H3C3
TLR1_TLR2,1,TIRAP
TLR4,1,TICAM2
TICAM2,1,TICAM1
JAK1,1,SHC1
TRAF6,1,MAP3K7
TICAM1,1,TRAF6
RCAN1,-1,PPP3CA
NOS1,-1,NFKBIA
TLR3,1,TICAM1
MYD88,1,IRAK4
GSK3B,1,RCAN1
LRRK2,1,MAP2K7
LRRK2,1,MAP2K6
ATG14,1,BECN1
SIRT2,-1,FOXO1
FOXO1,1,ATG7
RUBCN,-1,BECN1
PPP1CA_PPP1R12A_PPP1R12B,-1,MYL12A
CARD8,-1,CASP9
CARD8,-1,APAF1
SERPINB9,-1,CASP1
CASP1,-1,CARD8
DAPK3,1,MYL12A
DAPK1,1,MYL12A
ROCK1,1,MYL12A
TP53,-1,BCL2
MTOR,1,DAP
CFLAR,-1,ATG3
DAPK3,1,MYL5
RPS6KA3,-1,BAD
CASP3,-1,EIF2S2
RPS6KB1,1,RPS6
CREB1,1,HSD3B1
DAPK1,-1,BCL2
CDK1,1,BIRC5
CASP3,-1,EIF2S3
TP53,1,TYRP1
GAPDH,-1,RHEB
TP53,-1,UBD
CALM2,1,RAC1
TP53,1,VCAN
TP53,1,VDR
TP53,1,TRIAP1
TP53,1,TRIM22
TP53,1,TSC2
TP53,-1,TRPM2
MIR17HG,-1,BCL2
COPS2_COPS3_COPS4_COPS5_COPS6_COPS7A_COPS7B_GPS1,1,NEDD8
AKT1,-1,ITPR1
GAPDH,1,APEX1
CAMKK1,1,CRMP1
GAPDH,1,POU2F1
POU2F1,1,H2BC11
SFPQ,1,NONO
BIRC2,1,ERC1
NONO,1,TOP1
CUL4A_DDB1_DDB2_RBX1,1,XPC
APLF,1,PARP1
JUN,1,PPM1D
ATR,1,TDP1
PRKDC_XRCC6,1,TDP1
GSK3B,-1,GYS1
SMAD2,1,CREB1
ATM,1,TDP1
BTRC_CUL1_SKP1,-1,CLSPN
ATM,-1,TRIM28
CHEK1,1,RAD51
CCNA2_CDK2,1,BRCA1
PPP1R3A,1,GYS1
IKBKE,1,RELA
GSK3B,1,AXIN1
CSNK1A1,-1,PRKN
E2F7,-1,SP1
CRTC2,1,HSD3B1
CRTC2,1,CYP11A1
GSK3B,1,LRP6
GNAQ,-1,GSK3B
BTRC_CUL1_SKP1,-1,WEE1
USP1,-1,FANCD2
MAPK8,-1,YWHAZ
CRTC2,1,STAR
BCL2,-1,BECN1
CHEK2,-1,CDC25A
PLK1,-1,WEE1
HMGA2,1,ATM
ATM,1,HMGA2
CSNK2A1_CSNK2B,-1,NFKBIA
ATM,1,HMGA1
PPP3CA_PPP3R1,1,BAD
AKT1,1,NOS3
PINK1,-1,CRMP1
LEF1,1,FAIM2
BTRC_CUL1_SKP1,-1,CDC25A
CDK5,-1,PRKN
CSNK1A1,-1,CTNNB1
CSNK1A1,-1,CDC25A
ERBB2,1,GRAP
PLK2,1,TP53
CHEK1,1,TP53
TP53,1,PLAGL1
E2F1,1,CASP3
OPRL1,1,GNB2
TP53,1,ODC1
TP53,-1,NOS3
TP53,1,PERP
TP53,1,P2RX6
PPARG,1,KMT5A
TP53,1,MMP2
E2F1,1,XPC
TP53,1,MET
PPARG,1,CD36
TP53,1,NLRC4
PPARG,1,FABP4
TP53,1,NDRG1
PPARG,1,KLF15
PPARG,1,ADIPOQ
TLX1,1,ALDH1A1
GPS2_HDAC3_NCOR1_TBL1XR1_TBL1Y,1,DZIP3
ATR,1,E2F1
YWHAQ,1,E2F1
E2F1,1,DDB2
ATM,-1,MDM2
MIR17HG,-1,NCOA3
DDX17,1,ESR1
DDX17,1,MDM2
TP53,1,RB1
SNCB,-1,TP53
TP53,1,RABGGTA
TP53,1,PYCARD
TP53,-1,PTK2
TP53,1,PTEN
TP53,1,PRKAB1
SGK1,-1,FOXO3
SH3RF1,1,MAPK8
TP53,1,PRDM1
CHUK_IKBKB_IKBKG,-1,FOXO3
TP53,1,PPM1J
AKT1,-1,FOXO1
NR2F2,-1,CEBPA
YWHAQ,-1,RPTOR
PLK3,1,TP53
CAMK2A_CAMK2B_CAMK2D_CAMK2G,-1,HDAC4
NR2F2,-1,PPARG
DUSP16,1,MAPK8IP2
GPS2_HDAC3_NCOR1_TBL1XR1_TBL1Y,1,NR2F2
CAMK2A_CAMK2B_CAMK2D_CAMK2G,1,HDAC9
E2F1,1,CCNB1
E2F1,1,CASP7
TP53,1,SERPINE1
TP53,1,SERPINB5
FOS_JUN,1,SPI1
TP53,1,SFN
TP53,1,SESN1
TP53,1,RPS27L
TP53,1,COP1
PDE4DIP,1,PRKAR1A
TP53,1,S100A2
TP53,1,SCN3B
TP53,-1,SCD
MIR17HG,-1,CCND1
TP53,1,TP73
TP53,1,TP63
GSK3B,1,CCND1
TP53,1,STEAP3
TP53,-1,SLC38A2
ETS1,1,STAT1
STAT1,1,ICAM1
TP53,1,SH2D1A
TP53,1,TNFRSF10C
MAX_MYC_ZMIZ1,-1,CDKN2B
TP53,1,TNFRSF10A
TP53,1,TGFA
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,TP53
TP53,1,TAP1
AXIN1,1,MYC
GSK3B,-1,MYC
PPP2CA_PPP2R5A_PTPA,1,MYC
MAX_MYC,1,NBN
CHEK1,-1,CDC25A
RPS6KA5,-1,H2AZ1
TAF1,1,BCL2L11
CREBBP,1,ASAH2B
KAT7,1,H4C6
KAT7,1,H3C3
KDM1A,-1,SCN2A
CASP8,1,CASP6
GTF3C4,1,H3C3
CSNK2A1_CSNK2B,1,TOP2A
NCOA1,1,H4C6
NCOA1,1,H3C3
ADGRV1,1,USH2A
CDK1,1,CSNK2B
MDM2,-1,JMY
NCOA3,1,H3C3
DYRK2,1,TP53
GDE1,-1,PPM1D
CCNH_CDK7_MNAT1,1,CCNA2
TBK1,1,IRF7
RUNX1,1,IER3
MAVS,1,TBK1
NCOA2,1,H3C3
NCOA3,1,H4C6
TLR5,1,MYD88
KDM3B,-1,H3C3
RIPK2,1,BCL10
KDM3A,1,H3C3
CLOCK,1,H3C3
NCOA2,1,H4C6
KDM4C,-1,H3C3
KDM4B,-1,H3C3
GDE1,-1,CCNE1
KDM4A,-1,BCL2L11
GDE1,-1,CCND1
APC_CDC20,-1,CCNB1
CCNH_CDK7_MNAT1,1,CCNE1
ATR,1,RFWD3
CCNT1_CCNT2_CDK9,1,POLR2A
TNFRSF10A,1,FADD
BAK1,1,AIFM1
TP53,-1,HIF1A
CASP1,1,IL1B
CSNK2B,1,TP53
ABL1,1,WASL
PRMT6,-1,THBS1
APIP,-1,APAF1
ESCO1,1,KDM1A
TNFAIP3,-1,IKBKG
PPP4C_PPP4R1,-1,H2AX
XRCC5_XRCC6,-1,DDB1
ABL1,-1,YTHDC1
ABL1,1,ZDHHC16
XPC,1,DDB1
CASP1,1,IL18
ESCO1,1,RAD21
ABL2,1,WASL
ABL1,-1,WRN
CAPNS1,1,CAPN2
XRCC5,1,DDB2
MIR17HG,-1,E2F1
MIR17HG,-1,VEGFA
PIK3R4,1,PIK3C3
KMT2D,1,RELB
KMT2B,1,RELB
KMT2D,1,H3C3
KMT2B,1,H3C3
CARM1,1,H3C3
CARM1,1,RELB
RNF216,-1,TLR8
BID,1,BAK1
BID,1,BAX
ATM,-1,PLK1
DIABLO,-1,XIAP
ATR,-1,PLK1
PRMT6,1,PGR
MRE11_NBN_RAD50,1,ATM
PRMT6,1,ESR1
WEE1,-1,CDK1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,ACACA
KMT5B,-1,H4C6
XRCC5,1,ATRIP
KMT2A,1,RELB
PPM1A,-1,PRKAG1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,HMGCR
BRD4,1,CDK9
CDK9,1,RB1
CCNT1_CCNT2_CDK9,1,RB1
MBD1,1,SETDB1
CUL1_FBXW7_RBX1_SKP1,1,KMT5A
PIN1,1,FBXO5
MAPKAPK2,-1,HSPB1
E2F1,1,HIC1
SMARCA4,1,HIC1
RNF8,1,RNF168
CREBBP,1,H3C13
SOCS3,-1,TRAF6
SOCS3,-1,MAPK8IP1
MAP2K2,1,MAPK3
MAPK8,1,BMF
PPP5C,-1,TP53BP1
MAPK8,-1,IRS1
PPP5C,-1,PRKDC
MAPK8IP1,-1,MAPK8
RFWD3,1,RPA1
CASP5,1,IL18
CASP5,1,IL1B
MAPK8,1,BAX
RPA1_RPA2_RPA3,1,RFWD3
MAP2K1,1,MAPK1
SUMO1,1,YAP1
AKT1,-1,TBC1D1
AKT1,-1,TBC1D4
KMT2E,1,H3C3
PPM1D,-1,ATM
PARP1,1,XRCC1
PARP1,1,APTX
HSP90AA1,1,SMYD2
SMYD2,-1,TP53
SETD1A,1,BCL2L11
HTRA2,-1,XIAP
CXCL9,1,CXCR3
SETD2,1,H3C3
CCL5,1,CCR5
CCL8,1,CCR5
SMYD2,1,H3C3
BMP7,1,ACTR2
CCL4,1,CCR5
IL6,1,IL6ST
SETDB2,1,H3C3
MAVS,1,IKBKB
PARP1,1,H1-1
RIOX1,-1,SP7
FKBP8,1,BCL2L1
FKBP8,1,BCL2
TP53,-1,RECQL4
MYC,1,RIOX2
BMP2,1,ACTR2
GSK3A,-1,BCL3
CTBP1,-1,ELK3
SETD7,1,H3C3
PPM1D,-1,CHEK2
PRDM2,-1,H3C3
DOT1L,1,H3C3
DIABLO,-1,BIRC2
ATG16L1,1,CLTC
DIABLO,-1,BIRC3
CASP3,1,ATG4D
FADD,1,ATG5
MYC,1,MIR17HG
ATG4D,1,GABARAPL1
BMP15,1,ACTR2
DIABLO,-1,BIRC5
FADD,1,RIPK1
EGR1,1,TOPBP1
E2F1,1,PPM1D
E2F1,1,MAP3K5
HTRA2,-1,BIRC6
