timepoint,tf,measurement
T0,ZNF100,-6.91
T0,ZNF436,-6.91
T0,BHLHE40,6.3
T0,BHLHE41,6.3
T0,ZNF426,-5.19
T0,ZNF845,-5.17
T0,GTF2B,5.08
T0,TBPL2,5.08
T0,PRDM10,4.79
T0,LCORL,4.61
T0,NFATC1,4.61
T0,NFIA,4.61
T0,NFIB,4.61
T0,NFIC,4.61
T0,NFIX,4.61
T0,NR2E1,4.61
T0,SMAD1,4.61
T0,TLX1,4.61
T0,YY1,4.61
T0,ZNF300,4.61
T0,ZNF37A,4.61
T0,PKNOX2,4.54
T0,HOXB2,3.48
T0,GCM1,3.32
T0,MAX,3.11
T0,FIGLA,3.05
T8,FOXO1,-5.74
T8,FOXD1,-5.62
T8,FOXO3,-5.62
T8,FOXO4,-5.62
T8,FOXO6,-5.62
T8,FOXP2,-5.62
T8,AHDC1,-5.16
T8,ARID5B,-5.16
T8,FOXC1,-5.16
T8,FOXC2,-5.16
T8,FOXD2,-5.16
T8,FOXF1,-5.16
T8,FOXF2,-5.16
T8,FOXG1,-5.16
T8,FOXI1,-5.16
T8,FOXJ1,-5.16
T8,FOXJ2,-5.16
T8,FOXJ3,-5.16
T8,FOXK1,-5.16
T8,FOXK2,-5.16
T8,FOXL1,-5.16
T8,FOXL2,-5.16
T8,FOXL3,-5.16
T8,ALX4,4.48
T8,EVX1,4.48
T8,HOXB2,4.48
T8,MGA,4.48
T8,TBX21,4.48
T8,TBX3,4.48
T8,YY1,4.08
T8,NFIA,3.85
T8,NFIC,3.85
T8,SMAD1,3.24
T24,FIGLA,4.95
T24,GCM1,4.95
T24,MAX,4.95
T24,LCORL,4.69
T24,NFATC1,4.69
T24,NFIA,4.69
T24,NFIB,4.69
T24,NFIC,4.69
T24,NFIX,4.69
T24,NR2E1,4.69
T24,SMAD1,4.69
T24,TLX1,4.69
T24,YY1,4.69
T24,ZNF300,4.69
T24,ZNF37A,4.69
T24,FOXF1,-3.64
T24,FOXG1,-3.64
T24,FOXO1,-3.61
T72,MAX,3.57
T72,YY1,3.57
T72,TBX21,3.29
T72,TBX3,3.29
T72,BHLHE40,3.27
T72,BHLHE41,3.27
T72,NFIA,3.22
T72,NFIC,3.22
