gene_name_all,S1,S2,S4,S5,S6,S7,S8,S9,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S63,S64,S65,S66,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80
TSPAN6,1545.8477402571,1412.62709127485,1699.73063134427,1857.5223440103,1271.74716261315,1397.61684374045,1722.83725416668,1275.2426533256,1253.73403677394,1409.23343890913,1296.32985470101,1350.15448595277,1381.90964843735,1274.66857869594,1339.36908446996,1169.31250096069,1155.46405710085,1140.49902060881,1295.56264897128,1322.91173902659,1427.26886472692,1307.74775911042,1526.2682309011,1329.99363096263,1225.21983205808,1221.99077330973,1084.68882051644,1631.11849917922,1393.33571719879,1390.43203606319,1497.90607427012,1342.21233418837,1319.48102819208,1230.35029164054,1173.09783036665,1233.6215578365,1410.86930951696,1692.07227363003,1719.24894830416,1613.88450461334,1744.81844332536,1688.73034747152,1080.3044848499,1893.31732193179,1546.22623968368,1391.21690534525,1774.54500728293,1691.08257991041,1418.73165321604,1456.61018757223,1653.64670335852,1457.26749013069,1566.32150983525,1611.6328876435,1245.10673948571,1201.1957533555,1069.83691142493,1652.92267391918,1412.23288147969,1649.30815048792,1470.71164558418,1679.08259636044,1531.75225158316,1755.13321437395,1752.65546127285,2075.53646492298,986.814688232314,1635.61768027662,1532.86491313739,1470.65514399687,1384.20214963203,1276.11777684635,1269.17969480469,1227.40908997074,1599.81908674054
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71226518537348,0.0,0.0,0.0,0.0,0.0,1.8796179144069,0.0,0.937228042547185,0.939002862954525,0.0,1.88962899407012,0.0,1.86652656926272,1.88180424416394,0.0,0.944479504096244,0.941288610558743,1.87719866471009,0.0,0.937509992555171,0.0,0.0,0.0,1.86560167492862,0.0,0.0,0.931817604814645,0.948066945119377,0.0,0.0,0.0,0.0,0.929441890927072,0.0,0.0,0.928014688491508,0.92172544228651,0.92143552357734,0.0,0.938857616882077,0.93064889263534,0.0,0.932519379226214,0.0,0.0,0.0,1.88289733601111,0.0,0.933941457405899,2.68115324690953,0.0,0.0,0.0,0.0,0.0,0.928807405635372,0.0,0.0,0.925895094770541,0.921905280489979,1.86573947257098,0.0,0.0,0.0,0.0,0.0,0.0
DPM1,492.049269098942,460.126864137678,576.977682588979,640.685211933454,504.643101460313,475.828645321899,658.403020390261,523.925770003778,510.103923678164,527.351694111454,556.092936456253,520.847176726339,501.848433218998,470.24361545919,487.490595727183,451.699163612441,417.690262670472,481.081870366218,460.553972416411,438.633575331807,555.925241230199,497.573098173394,549.166139270772,533.404998701028,446.729888706614,413.08527360115,442.652553306492,545.536058469991,491.183479820396,516.639136266506,503.557415431489,496.755717620569,465.465379108171,511.144962301652,443.16843703476,445.409227673283,522.298279255811,480.70743096948,513.925176390796,600.012607838229,496.302851059835,639.792919702768,328.425847428255,571.270570065388,449.748601814081,399.133696047927,515.652184431818,452.891362273912,385.084679227087,374.560895677304,432.861293081784,410.996719851006,504.509461192316,498.844905922089,397.39330514724,426.380102239567,360.712951229548,510.70095829183,429.824436346259,433.350613141323,414.730160120644,483.445479874481,399.488192441515,522.280849925968,471.188508441085,519.408066035197,256.377163825933,446.844295395937,376.339422660809,380.240267955722,427.34378480291,433.313839746609,378.220725809034,414.84367435412,567.173861542289
SCYL3,183.904908457079,132.147720974013,161.342875922296,162.846569314437,124.871803326129,164.717417478544,179.319529086737,149.057500011195,137.083499552256,102.837503703182,104.64658293577,126.536666007022,126.772045465393,111.508715596118,121.693686957098,112.569273549877,108.101766527203,117.729468780889,142.763536183166,136.214269414005,124.310096981121,148.520734221794,147.671384037123,106.29979126528,94.3436323037213,123.332154396243,86.5158348873633,162.755962487351,134.32390784284,158.009955768272,158.6658123511,113.753962220575,151.517337483934,137.496103739667,122.062423141926,118.022667986985,169.413088888066,130.727956052181,116.304662839373,111.200042717775,119.638947722427,101.154034699148,72.076530239521,128.961635379606,102.556068340593,101.426902795104,127.365531233029,107.66581310596,92.5657835300392,95.0373094531417,100.440615243168,86.5088256552093,87.032431328486,88.1976040262624,46.9395449199917,89.3669533528808,57.0174556102582,156.231123562032,102.848970822412,114.182519516969,105.431429066088,120.649576077896,119.940878792829,97.2117052431887,105.051968107597,98.4195976949139,37.3845962550834,89.7447096366593,79.0404502911204,103.43724994593,81.2354312895351,78.2599741880632,80.8465321061925,87.050245294493,119.454570100224
FIRRM,422.651526240312,311.972473568816,561.478759773828,354.679356520445,344.138066057169,453.021963717319,459.799386797645,267.876062526826,371.702863365734,301.145255629843,284.090692876383,280.552742032256,383.239636316226,266.495770710616,314.82428036831,274.262032147777,325.877645361167,289.02880611674,271.587082445288,198.274853267544,287.106631909999,244.373232359783,312.404191880399,268.588161019068,246.774456141273,334.733843285328,324.734222969591,334.041578047627,324.728978267765,311.730030012553,282.558321607855,227.253405705032,294.292994599182,234.456185714328,220.075549624288,224.677736551624,266.737469734811,192.247239068563,224.958126683649,121.885782975661,224.663622315977,118.999193718546,87.3739450603401,164.795264162146,124.508247638236,140.592197138983,155.805802287047,156.039010576716,119.643492049876,169.242607223609,125.48200817851,80.5791381418226,206.393940075653,226.910358305056,131.328145801763,149.576474996015,138.04445791881,173.717713167012,128.229622921726,183.339536456151,202.12376220848,150.180120271746,174.022647144258,150.595246003895,154.003095836282,151.500944360668,67.9139024564027,99.6096381575039,97.3948025765975,92.2128484615381,133.814576053951,188.545803615936,158.409644761829,156.435561134328,182.450733438307
FGR,0.0,0.0,2.6746691712238,0.0,0.0,0.0,0.774915895777864,0.0,0.775945635351713,0.0,0.0,0.0,1.55237413602452,0.0,0.0,0.0,0.0,0.0,0.0,2.70982203920115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54823506213234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51942377977696,0.0,1.39982769538378,0.0,0.0,0.763642115581522,0.0,0.0,0.0,0.772845166315645,0.0,0.0,0.0,0.0,1.43454564114303,0.0,0.773621131770321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39672763379607,0.0,0.0,0.0,0.0,0.778819517667376,0.0,0.0,0.0,0.0
CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.783901169126337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583497685737528,0.0,1.11992605096742,0.0,0.0,0.0,2.69724455541474,0.61573416488068,0.0,0.0,0.0,1.62728497129059,0.0,0.613152744293978,0.0,0.0,0.0,0.0,0.0,0.0,6.23717433813981,0.0,0.0,0.0,0.0,0.0,0.0,2.65335455118552,0.0,0.0,0.0,5.98719394579908,0.0,0.0,3.02508462490533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08540341407446,0.0,2.66074186117758,0.0,4.10082881260418,0.0,3.68661961549477,0.0
FUCA2,714.336574482002,683.596798348744,817.724933544232,897.514313441035,645.167390030859,690.320482620783,885.462545334354,564.203114253192,569.725819819449,583.64168721087,566.177697495019,514.200610654529,631.163411716061,479.041739084484,445.626967610361,393.471343764264,407.823714212996,441.839168359639,467.148439582278,435.928477826777,506.55943204442,521.077884691118,550.465891419599,467.739409769809,369.21420552127,365.337719483715,330.659298388983,479.792333377867,499.889235245368,570.649373181041,461.814487504576,543.649524150075,498.323670727205,579.509660484072,474.72144946959,480.94189028283,533.570354846594,467.082723585537,451.454071386933,462.153295341195,481.705673462847,446.447027603693,298.787542357043,532.332815114616,374.066963634391,329.564224602601,387.220152344439,416.862682014189,368.337770756523,386.329043962104,367.955940733583,331.599777012523,481.573316869911,572.702303246869,400.603682205975,347.451292412502,374.733052264936,459.075035551364,396.691168305909,368.345221970205,400.101940904692,410.392212095189,339.348989443737,398.154926627729,479.693239730061,511.661966529114,264.131043923141,332.160090622062,337.233916193067,385.830466984807,356.460987144021,375.044886246554,384.570555578867,324.321562985957,505.092392351125
GCLC,770.577577394986,439.588523263343,563.159562734952,444.637313624689,513.181996827701,553.990337370903,661.244285411029,495.446247844546,515.438885424596,544.411056734695,499.208584321307,503.113896060893,575.137401115184,502.81100898799,480.955150138319,406.277558863451,441.750949750071,503.085644807285,524.256258809068,439.339232723858,538.646446189567,610.197836772012,600.286718931312,430.394840233243,670.804400022505,380.063265292523,428.867538088844,432.82264179251,436.062578709045,378.85463102241,408.86483309853,355.903971924966,467.53294569718,417.138785693767,356.597424182212,409.004568464593,571.693953216664,514.912070506989,350.52005249363,240.646665520621,376.949145980299,283.831136112241,250.543684655055,442.863564779878,355.244137274259,338.351290439094,448.335602723024,473.057710872336,459.396742630683,439.03215634617,445.1244862882,454.946641445919,403.722101236748,395.671663998152,384.286463146928,295.002836536156,408.791879856492,457.987267533338,294.688739190266,452.478810837191,395.676321586915,359.368807369442,391.447192517471,427.716035944551,415.894832010365,654.556907302817,322.511145335288,553.554986216112,445.799565155804,425.475586983615,305.587716700583,328.515936709021,376.059154743717,299.895251214573,467.429549522426
NFYA,1348.9372243182,1016.71352196035,1530.97831284345,1196.43471841985,1088.39426822506,1056.13602724854,1378.579648585,1068.91151636448,1101.01445844024,1141.05203761436,923.078996947945,1174.6188922511,1300.08742783318,1158.57732748994,1125.65812768338,1167.46454797871,1178.8373775096,1071.53195801094,944.2487859415,973.967449764949,1007.77980562435,1142.49857246546,1168.99297753176,1074.77827743787,1015.09604405962,943.008635011149,977.642335358123,1195.77497937937,973.597404225248,900.71121480601,1045.67186549074,727.698480713347,940.580037809016,938.13381864949,796.526638907645,900.68306401071,1027.00024408695,1379.65549514752,996.061582684357,787.289352653446,1387.3658145634,567.396018120696,841.748448309047,1475.49219481142,1148.59530593111,1050.16363107031,1326.04237117813,1181.59356045937,898.807750178329,1112.34663364646,1070.34070527842,1034.17568923958,1129.6137676375,1125.32894810884,984.275049224838,821.784838544893,899.257885743097,1470.07386385162,988.954948232407,1353.75392452759,1213.14473535634,1242.74245861029,1164.34611534333,1293.31556449408,1147.63482867304,1363.22941569812,666.88220188751,1000.90866577109,1022.82934256418,940.690229528851,969.933115486181,915.567192395922,943.092259512622,939.546574771677,1286.92026037514
