source,interaction,target,weight,timepoint,model
AKT1,1,SMURF1,100,T24,inverse
CAPN3,1,GSK3B,0,T24,inverse
CDK6,-1,RB1,0,T24,inverse
CREB1,1,CDK6,0,T24,inverse
CREB1,1,MYC,0,T24,inverse
CREB1,1,SMAD3,0,T24,inverse
CREB1,1,SMAD6,100,T24,inverse
CREB1,1,SMARCA4,100,T24,inverse
FOXA1,1,NFIB,100,T24,inverse
FOXA1,1,NFIX,100,T24,inverse
FOXG1,-1,FOXO1,0,T24,inverse
GADD45A,-1,MAPK14,100,T24,inverse
GSK3B,-1,GCM1,100,T24,inverse
GSK3B,1,SMAD1,0,T24,inverse
GSK3B,1,SMAD3,100,T24,inverse
KDM5B,1,FOXG1,100,T24,inverse
LRRK2,1,AKT1,100,T24,inverse
MAPK14,-1,NFATC1,100,T24,inverse
MYC,1,CAPN3,0,T24,inverse
NFIB,-1,NFIC,0,T24,inverse
NFIB,-1,NFIX,0,T24,inverse
NOTCH1,1,SMAD1,0,T24,inverse
PARP1,-1,KDM5B,100,T24,inverse
PRKACA,-1,GSK3B,100,T24,inverse
PRKACA,-1,LRRK2,100,T24,inverse
PRKACA,-1,NFATC1,0,T24,inverse
PRKACA,1,PARP1,100,T24,inverse
PRKACA,1,SGK1,0,T24,inverse
PRKACA,1,SRC,0,T24,inverse
Perturbation,-1,CREB1,0,T24,inverse
Perturbation,-1,PRKACA,0,T24,inverse
Perturbation,-1,TLX1,0,T24,inverse
Perturbation,1,CREB1,100,T24,inverse
Perturbation,1,PRKACA,100,T24,inverse
Perturbation,1,TLX1,100,T24,inverse
RB1,-1,YY1,100,T24,inverse
SGK1,-1,FOXO1,0,T24,inverse
SMAD3,-1,FOXA1,100,T24,inverse
SMAD3,1,FOXO1,100,T24,inverse
SMAD3,1,MAX,0,T24,inverse
SMAD6,1,SMAD1,100,T24,inverse
SMAD6,1,SMURF1,0,T24,inverse
SMARCA4,1,GADD45A,100,T24,inverse
SMURF1,-1,NFIC,100,T24,inverse
SRC,-1,YY1,0,T24,inverse
TLX1,-1,RB1,100,T24,inverse
YY1,-1,NOTCH1,0,T24,inverse
AKT1,1,SMURF1,100,T72,inverse
AKT3,1,TBX3,100,T72,inverse
CDK1,1,UBE2I,0,T72,inverse
CDK6,-1,RB1,100,T72,inverse
CREB1,1,CDK6,100,T72,inverse
CREB1,1,CREBBP,0,T72,inverse
CREB1,1,SMAD3,100,T72,inverse
CREB1,1,SMAD6,0,T72,inverse
CREB1,1,TCL1A,100,T72,inverse
CREBBP,1,RELA,0,T72,inverse
CREBBP,1,SMAD2,0,T72,inverse
CTBP1,1,BHLHE41,100,T72,inverse
GSK3B,-1,CDK1,0,T72,inverse
GSK3B,-1,TRAF6,0,T72,inverse
GSK3B,1,SMAD3,0,T72,inverse
LRRK2,1,AKT1,100,T72,inverse
NCOR2,1,BHLHE41,0,T72,inverse
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,CTBP1,100,T72,inverse
PRKACA,-1,GSK3B,0,T72,inverse
PRKACA,-1,LRRK2,100,T72,inverse
PRKACA,-1,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,100,T72,inverse
PRKACA,1,SGK1,100,T72,inverse
PRKACA,1,SRC,0,T72,inverse
Perturbation,-1,CREB1,0,T72,inverse
Perturbation,-1,PRKACA,0,T72,inverse
Perturbation,1,CREB1,100,T72,inverse
Perturbation,1,PRKACA,100,T72,inverse
RB1,-1,YY1,100,T72,inverse
RELA,-1,NCOR2,0,T72,inverse
SGK1,1,SP1,100,T72,inverse
SMAD2,1,SP1,0,T72,inverse
SMAD3,1,MAX,100,T72,inverse
SMAD6,1,SMURF1,0,T72,inverse
SMURF1,-1,NFIC,100,T72,inverse
SP1,1,TBX21,100,T72,inverse
SRC,-1,YY1,0,T72,inverse
TCL1A,1,AKT3,100,T72,inverse
TRAF6,1,AKT3,0,T72,inverse
UBE2I,-1,BHLHE40,0,T72,inverse
AKT1,-1,FOXO6,100,T8,inverse
AKT1,1,SMURF1,0,T8,inverse
AKT3,1,TBX3,0,T8,inverse
ATM,1,SMAD1,0,T8,inverse
CDK1,1,FOXK2,100,T8,inverse
CDK5,1,FOXC2,100,T8,inverse
CDK6,-1,RB1,0,T8,inverse
CHEK1,-1,NEK6,0,T8,inverse
CREB1,1,CDK6,0,T8,inverse
CREB1,1,CREBBP,0,T8,inverse
CREB1,1,CTNNB1,100,T8,inverse
CREB1,1,FOXO4,100,T8,inverse
CREB1,1,GTF2B,100,T8,inverse
CREB1,1,SMAD3,0,T8,inverse
CREB1,1,SMAD6,100,T8,inverse
CREB1,1,SMARCA4,0,T8,inverse
CREB1,1,TCL1A,0,T8,inverse
CREBBP,1,SMAD2,0,T8,inverse
CTNNB1,1,FOXO3,100,T8,inverse
CTNNB1,1,FOXO4,100,T8,inverse
CTNNB1,1,LEF1,0,T8,inverse
E2F1,1,CHEK1,0,T8,inverse
ESR1,-1,FOXO1,0,T8,inverse
FOXG1,-1,FOXO1,0,T8,inverse
FOXL2,1,SIRT1,100,T8,inverse
FOXO3,1,ATM,0,T8,inverse
FOXO3,1,ESR1,0,T8,inverse
FYN,1,CDK5,100,T8,inverse
FYN,1,MAPK14,100,T8,inverse
GADD45A,-1,CDK1,0,T8,inverse
GADD45A,-1,MAPK14,0,T8,inverse
GSK3B,-1,CDK1,100,T8,inverse
GSK3B,-1,TRAF6,0,T8,inverse
GSK3B,1,SMAD1,100,T8,inverse
GSK3B,1,SMAD3,100,T8,inverse
GTF2B,1,FOXF2,100,T8,inverse
KDM5B,1,FOXG1,0,T8,inverse
LATS1,1,FOXL2,100,T8,inverse
LEF1,1,ALX4,100,T8,inverse
LRRK2,1,AKT1,100,T8,inverse
MAPK14,1,FOXC1,100,T8,inverse
MAX,1,MGA,100,T8,inverse
NEK6,1,FOXJ2,0,T8,inverse
NOTCH1,1,SMAD1,0,T8,inverse
PARP1,-1,KDM5B,0,T8,inverse
PRKACA,-1,GSK3B,100,T8,inverse
PRKACA,-1,LRRK2,100,T8,inverse
PRKACA,1,CREB1,100,T8,inverse
PRKACA,1,CTNNB1,100,T8,inverse
PRKACA,1,E2F1,0,T8,inverse
PRKACA,1,FYN,100,T8,inverse
PRKACA,1,LATS1,100,T8,inverse
PRKACA,1,PARP1,0,T8,inverse
PRKACA,1,SGK1,0,T8,inverse
PRKACA,1,SRC,100,T8,inverse
Perturbation,-1,PRKACA,100,T8,inverse
Perturbation,1,PRKACA,0,T8,inverse
RB1,-1,YY1,0,T8,inverse
SGK1,-1,FOXO1,0,T8,inverse
SGK1,-1,FOXO3,0,T8,inverse
SGK1,1,SP1,0,T8,inverse
SIRT1,-1,FOXO3,0,T8,inverse
SIRT1,1,FOXO1,100,T8,inverse
SIRT1,1,FOXO4,100,T8,inverse
SMAD2,1,SP1,0,T8,inverse
