timepoint,go_id,n_significant_degs,total_hit_count,total_percentage_of_degs,genes,term,family,minimum_fdr
T24,GO:0141156,4506,7,0.155348424323125,APP;EDN1;EDNRA;MC1R;PRKACA;PRKAR1B;PRKAR2A,cAMP/PKA signal transduction,Second-messenger signaling,0.30515101692684
T24,GO:0060019,4506,8,0.177541056369285,CDH2;FGF10;GAP43;HES1;LEF1;METTL3;RHOA;STAT3,Radial glial cell differentiation,Neural progenitor biology,0.0198988442484395
T24,GO:0042073,4506,14,0.310696848646249,CILK1;DYNC2H1;DYNC2I1;IFT172;IFT25;IFT27;IFT43;IFT57;IFT70B;IFT80;IFT88;PCM1;TUB;WDR19,Intraciliary transport,Primary cilium,0.00457706900180941
T24,GO:0019933,4506,15,0.33288948069241,ADCYAP1R1;ADGRG6;CAP1;CAP2;EPHA5;GIPR;KSR1;LPAR1;PDE1A;PDE1C;PDE3A;PDE7A;PDE8A;RAPGEF2;UCN,cAMP-mediated signaling,Second-messenger signaling,0.362003788385959
T24,GO:1905515,4506,20,0.443852640923214,BBS1;BBS2;BBS4;CC2D2A;CEP126;CEP89;DCTN1;DYNC2H1;EXOC5;IFT172;IFT57;IFT80;IFT88;KCNF1;MAP4;MAPRE1;MKS1;PCM1;SEPTIN7;TMEM80,Non-motile cilium assembly,Primary cilium,0.0245282369829395
T24,GO:0060563,4506,21,0.466045272969374,ASCL1;B9D1;BMP2;BMP4;CDH2;DLL1;FGF2;HES1;IFT80;INSM1;IPO7;LEF1;NFE2L1;NOTCH1;POU3F2;SERPINE1;SMAD2;SOX11;SOX4;TGFB1;TUBB,Neuroepithelial cell differentiation,Neural progenitor biology,0.00256695181180772
T24,GO:0061512,4506,27,0.599201065246338,ARF4;ASAP1;ASB3;ATP6V1D;BBS1;BBS4;CC2D2A;CCDC66;DNAAF11;DNAH11;DYNC2H1;EHD1;FSIP2;GDI2;GGA1;IFT80;MAPK15;NPHP4;RAB11A;RAB8A;SNX10;SPATA7;TUB;TULP3;WDR19;ZDHHC3;ZNF423,Protein localization to cilium,Primary cilium,0.00244771459114608
T24,GO:2000177,4506,36,0.798934753661784,APPL2;ASCL1;ASPM;BTG2;CDH2;CEND1;CTNNA1;CX3CL1;DISP3;DLL4;EGF;FGF2;FLNA;GNAI2;ILK;INSM1;ITGB1;KDM1A;LIMS2;LYN;NCAN;NES;NF1;NF2;NOTCH1;PROX1;PTBP2;PTN;PTPRZ1;RHOA;SHCBP1;SHH;SLC16A2;SMO;TGFB1;VEGFC,Regulation of neural precursor cell proliferation,Neural progenitor biology,0.0130133186924059
T24,GO:0061351,4506,63,1.39813581890812,ACSL6;APPL2;ASCL1;ASPM;ATF5;BBS1;BTG2;CDH2;CEND1;CTNNA1;CX3CL1;DAGLB;DBN1;DISP3;DLL4;EGF;EML1;EPHB1;FGF2;FGFR2;FLNA;FZD6;GNAI2;HEATR1;ILK;INSM1;ITGB1;KDM1A;KIF14;LEF1;LIMS2;LYN;MELK;NCAN;NDE1;NDUFS2;NES;NF1;NF2;NFIA;NOTCH1;NUMBL;PCM1;POU3F2;PROX1;PTBP2;PTN;PTPRZ1;RAB10;RACGAP1;RARB;RHOA;RORA;RRM1;SHCBP1;SHH;SLC16A2;SMO;SOX5;TGFB1;TRNP1;VEGFC;ZNF503,Neural precursor cell proliferation,Neural progenitor biology,0.00092531735549104
T24,GO:0044782,4506,115,2.55215268530848,ABLIM1;ACTR2;ACTR3;ADAMTS16;AHI1;AKT1;ARF4;ARMC12;ASAP1;ATP6V1D;AURKA;AVIL;B9D1;BBS1;BBS2;BBS4;BBS5;CATIP;CC2D2A;CCDC57;CCDC65;CCDC66;CCDC88C;CDC14A;CDK10;CDKL5;CEP126;CEP162;CEP83;CEP89;CEP97;CFAP44;CFAP69;CFAP70;CILK1;DCTN1;DCX;DNAAF11;DNAH1;DNAH7;DNMBP;DYNC2H1;DYNC2I1;EHD1;EHD2;EHD4;EXOC5;FAM161A;FBXW8;FHDC1;FLNA;FSIP2;GALNT11;GDI2;GSN;IFT172;IFT25;IFT27;IFT43;IFT57;IFT70B;IFT80;IFT88;IQCG;KCNF1;LIMK2;LPAR1;LRGUK;LRRC23;MACIR;MAP4;MAPK15;MAPRE1;MKS1;NECTIN2;NME5;NOTCH1;NUDCD3;OCRL;ONECUT2;PARVA;PCM1;POC1A;RAB11A;RAB34;RAB8A;RFX4;RP2;RSPH1;RSPH4A;SCLT1;SEPTIN2;SEPTIN7;SNX10;SPACA9;SPAG16;SPEF2;STK36;SYNE2;TCTN3;TEKT2;TMEM237;TMEM80;TPGS1;TRAPPC14;TSGA10IP;TTC12;TTC17;TTC39C;TTLL3;TUB;UNC119B;VDAC3;WDR19;WWTR1,Cilium organization,Primary cilium,3.20089525643812e-05
