timepoint,gene,log2FC_light_vs_dark,padj,significant,light_down,neglog10_padj
T0,NOTCH2,-0.0549151004539016,0.813778328822808,FALSE,FALSE,
T8,NOTCH2,-0.301494606854369,0.0248951546173847,TRUE,TRUE,1.60388517208913
T24,NOTCH2,-0.281825913055936,0.0377170470620406,TRUE,TRUE,1.42346231632873
T72,NOTCH2,-0.369277113636749,0.00445684629092133,TRUE,TRUE,2.35097234373653
T0,PROM1,-0.0574829834849125,0.581357449813774,FALSE,FALSE,
T8,PROM1,-0.171152588410495,0.0116903996870747,TRUE,TRUE,1.9321706403417
T24,PROM1,-0.317305864408239,3.36898607910022e-07,TRUE,TRUE,6.47250078355211
T72,PROM1,-0.309843599875897,7.92771383990114e-07,TRUE,TRUE,6.10085203460689
T0,NES,-0.157935796478774,0.249835215113706,FALSE,FALSE,
T8,NES,-0.220301208054918,0.0342362412131236,TRUE,TRUE,1.46551392244136
T24,NES,-0.324939714598395,0.00109583856450511,TRUE,TRUE,2.96025342003832
T72,NES,-0.380821061328308,9.32862821326318e-05,TRUE,TRUE,4.03018221511862
T0,FGF2,-0.288602909986012,0.0194570524567821,TRUE,TRUE,1.71092295022959
T8,FGF2,-0.142371465667915,0.24620547301795,FALSE,FALSE,
T24,FGF2,-0.236214728419432,0.0218153200944999,TRUE,TRUE,1.66123841026116
T72,FGF2,-0.284512670565126,0.00462373402298727,TRUE,TRUE,2.33500715635034
T0,EGFR,-0.0184418178655218,0.941975548150876,FALSE,FALSE,
T8,EGFR,-0.660337743682268,1.50954116110736e-07,TRUE,TRUE,6.82115504044275
T24,EGFR,-0.86569058199842,1.65069962231327e-15,TRUE,TRUE,14.782331948082
T72,EGFR,-0.843804993378569,4.62922349575402e-14,TRUE,TRUE,13.3344918512696
T0,ERBB2,-0.111697997892034,0.139592389709336,FALSE,FALSE,
T8,ERBB2,-0.275325735381484,5.85115136621738e-07,TRUE,TRUE,6.23275866677346
T24,ERBB2,-0.158846819324065,0.00814522238348048,TRUE,TRUE,2.08909705394602
T72,ERBB2,-0.199648657838004,0.000620823920247092,TRUE,TRUE,3.20703155813005
T0,PDGFRB,-0.196726367405101,0.6576574623562,FALSE,FALSE,
T8,PDGFRB,-0.673144791283583,0.0140975032902209,TRUE,TRUE,1.85085779537947
T24,PDGFRB,-0.941183289658263,5.60985257828257e-05,TRUE,TRUE,4.25104855144966
T72,PDGFRB,-0.989479718483447,2.33740763624491e-05,TRUE,TRUE,4.6312655414658
T0,CENPF,0.455881784968338,0.000100745156008283,TRUE,FALSE,3.99677582627318
T8,CENPF,-0.926116074884242,2.86575844619615e-20,TRUE,TRUE,19.54276041893
T24,CENPF,-0.359860194155944,0.00143906235598569,TRUE,TRUE,2.8419203872491
T72,CENPF,-0.339095636002375,0.00273685360640655,TRUE,TRUE,2.56274843226842
T0,CENPE,-0.115616309829392,0.707320730730435,FALSE,FALSE,
T8,CENPE,-0.503248830826323,0.00807190146968889,TRUE,TRUE,2.09302414798913
T24,CENPE,-0.660922275506071,0.000715631975806958,TRUE,TRUE,3.14531026256209
T72,CENPE,-0.852890905598907,7.3311839657114e-06,TRUE,TRUE,5.13482588235029
T0,ASPM,0.280989533479588,0.0263198491454119,TRUE,FALSE,1.57971660424892
T8,ASPM,-0.822083038452446,7.31917692095589e-17,TRUE,TRUE,16.1355377548412
T24,ASPM,-0.691622138432654,8.61756066837658e-10,TRUE,TRUE,9.06461565043833
T72,ASPM,-0.615240974962718,6.69886982648973e-08,TRUE,TRUE,7.17399846140676
T0,KIF2C,0.110171330670451,0.380305676626553,FALSE,FALSE,
T8,KIF2C,-0.200571968252024,0.0267664501100025,TRUE,TRUE,1.57240922313007
T24,KIF2C,-0.740967584665032,1.93976856118825e-17,TRUE,TRUE,16.7122500837784
T72,KIF2C,-0.709803573257414,4.14323476236332e-16,TRUE,TRUE,15.3826604581788
T0,KIF11,0.09068367868132,0.603745346871408,FALSE,FALSE,
T8,KIF11,-0.290661419774412,0.00985926863201975,TRUE,TRUE,2.00615530015603
T24,KIF11,-0.503836405689428,6.33508285518873e-06,TRUE,TRUE,5.1982477006991
T72,KIF11,-0.672703383142738,7.58022194518628e-10,TRUE,TRUE,9.12031807825204
T0,TPX2,-0.0699005295383809,0.593675895610553,FALSE,FALSE,
T8,TPX2,-0.203913913341709,0.0176129313624253,TRUE,TRUE,1.75416835734451
T24,TPX2,-0.817508870680483,5.89732912203647e-26,TRUE,TRUE,25.2293446341527
T72,TPX2,-0.948163550942263,7.87538231703285e-35,TRUE,TRUE,34.1037283538371
