candidate,timepoint,orientation,n_targets,signed_support,sign_ambiguous,signed_contradiction,mean_support_distance,signed_score,rank,rank_percentile,supported_weight,orientation_label
AKT1,T24,-1,12,0,10,0,2.7,0.4166666666666667,339,0.9031241043278877,5,Candidate inhibited
AKT1,T72,-1,8,0,7,0,2.857142857142857,0.4375,234,0.9242276422764227,3.5,Candidate inhibited
AKT1,T8,-1,23,0,18,0,2.888888888888889,0.391304347826087,188,0.947190059305281,9,Candidate inhibited
CAMKK2,T24,-1,12,3,6,0,3.4444444444444446,0.5,73,0.9793637145313844,6,Candidate inhibited
CAMKK2,T72,-1,8,2,4,0,3.6666666666666665,0.5,52,0.9834146341463414,4,Candidate inhibited
CAMKK2,T8,-1,23,4,11,1,3.4,0.3695652173913043,209,0.941259531205874,9.5,Candidate inhibited
CDK1,T24,1,12,0,10,0,2.8,0.4166666666666667,341,0.9025508741759817,5,Candidate activated
CDK1,T72,1,8,0,7,0,3,0.4375,241,0.9219512195121952,3.5,Candidate activated
CDK1,T8,-1,23,1,17,0,2.888888888888889,0.41304347826086957,27,0.9926574414007343,9.5,Candidate inhibited
CDK2,T24,1,12,0,10,0,2.9,0.4166666666666667,343,0.9019776440240757,5,Candidate activated
CDK2,T72,1,8,0,7,0,3.142857142857143,0.4375,376,0.8780487804878049,3.5,Candidate activated
CDK2,T8,1,23,1,17,0,3.111111111111111,0.41304347826086957,30,0.991810223100819,9.5,Candidate activated
CREB1,T24,-1,12,1,8,0,3.3333333333333335,0.4166666666666667,327,0.9065634852393236,5,Candidate inhibited
CREB1,T72,1,8,1,5,0,3.3333333333333335,0.4375,178,0.9424390243902439,3.5,Candidate activated
CREB1,T8,1,23,2,11,1,3.230769230769231,0.2826086956521739,521,0.8531488280146851,7.5,Candidate activated
CSNK1D,T24,-1,12,1,9,0,3,0.4583333333333333,223,0.9363714531384351,5.5,Candidate inhibited
CSNK1D,T72,-1,8,2,5,0,3.7142857142857144,0.5625,28,0.9912195121951219,4.5,Candidate inhibited
CSNK1D,T8,-1,23,2,15,0,3.176470588235294,0.41304347826086957,21,0.9943518780005648,9.5,Candidate inhibited
CSNK2A1,T24,1,12,1,8,1,2.888888888888889,0.3333333333333333,951,0.7277156778446546,5,Candidate activated
CSNK2A1,T72,-1,8,1,6,0,2.5714285714285716,0.5,83,0.9733333333333334,4,Candidate inhibited
CSNK2A1,T8,-1,23,2,15,1,3,0.3695652173913043,221,0.9378706580062129,9.5,Candidate inhibited
CSNK2A1_CSNK2B,T24,1,12,1,8,1,3,0.3333333333333333,954,0.7268558326167956,5,Candidate activated
CSNK2A1_CSNK2B,T72,1,8,1,5,1,3,0.3125,906,0.7056910569105691,3.5,Candidate activated
CSNK2A1_CSNK2B,T8,-1,23,4,13,2,3.3529411764705883,0.3695652173913043,212,0.9404123129059587,10.5,Candidate inhibited
GSK3B,T24,-1,12,0,10,0,2.5,0.4166666666666667,336,0.9039839495557467,5,Candidate inhibited
GSK3B,T72,1,8,0,7,0,3.142857142857143,0.4375,377,0.8777235772357723,3.5,Candidate activated
GSK3B,T8,1,23,0,18,0,2.888888888888889,0.391304347826087,189,0.9469076532053092,9,Candidate activated
MAP3K1,T24,-1,12,3,7,0,3.2,0.5416666666666666,36,0.9899684723416452,6.5,Candidate inhibited
MAP3K1,T72,-1,8,1,5,0,3.5,0.4375,193,0.937560975609756,3.5,Candidate inhibited
MAP3K1,T8,-1,23,3,13,0,3.375,0.41304347826086957,17,0.9954815024004519,9.5,Candidate inhibited
MAPK1,T24,-1,12,0,10,0,2.6,0.4166666666666667,337,0.9036973344797936,5,Candidate inhibited
MAPK1,T72,1,8,0,7,0,2.857142857142857,0.4375,235,0.9239024390243903,3.5,Candidate activated
MAPK1,T8,-1,23,1,17,0,3.0555555555555554,0.41304347826086957,29,0.9920926292007908,9.5,Candidate inhibited
MAPK14,T24,1,12,0,10,0,2.6,0.4166666666666667,338,0.9034107194038407,5,Candidate activated
MAPK14,T72,1,8,0,7,0,3.142857142857143,0.4375,378,0.8773983739837399,3.5,Candidate activated
MAPK14,T8,1,23,1,16,1,2.8823529411764706,0.34782608695652173,292,0.917819824908218,9,Candidate activated
MAPK3,T24,-1,12,0,10,0,2.7,0.4166666666666667,340,0.9028374892519346,5,Candidate inhibited
MAPK3,T72,1,8,0,7,0,3.142857142857143,0.4375,379,0.8770731707317073,3.5,Candidate activated
