sample	condition	timepoint	batch	replicate
S1	WT	T0	batch1	rep1
S2	WT	T0	batch1	rep2
S4	WT	T0	batch1	rep4
S5	WT	T0	batch1	rep5
S6	BBS1	T0	batch1	rep1
S7	BBS1	T0	batch1	rep2
S8	BBS1	T0	batch1	rep3
S9	BBS1	T0	batch1	rep4
S11	Light	T0	batch1	rep1
S12	Light	T0	batch1	rep2
S13	Light	T0	batch1	rep3
S14	Light	T0	batch1	rep4
S15	Light	T0	batch1	rep5
S16	Dark	T0	batch1	rep1
S17	Dark	T0	batch1	rep2
S18	Dark	T0	batch1	rep3
S19	Dark	T0	batch1	rep4
S20	Dark	T0	batch1	rep5
S21	WT	T8	batch1	rep1
S22	WT	T8	batch1	rep2
S23	WT	T8	batch1	rep3
S24	WT	T8	batch1	rep4
S25	WT	T8	batch1	rep5
S26	BBS1	T8	batch1	rep1
S27	BBS1	T8	batch1	rep2
S28	BBS1	T8	batch1	rep3
S30	BBS1	T8	batch1	rep5
S31	Light	T8	batch1	rep1
S32	Light	T8	batch1	rep2
S33	Light	T8	batch1	rep3
S34	Light	T8	batch1	rep4
S35	Light	T8	batch1	rep5
S36	Dark	T8	batch1	rep1
S37	Dark	T8	batch1	rep2
S38	Dark	T8	batch1	rep3
S39	Dark	T8	batch1	rep4
S40	Dark	T8	batch1	rep5
S41	WT	T24	batch1	rep1
S42	WT	T24	batch1	rep2
S43	WT	T24	batch1	rep3
S44	WT	T24	batch1	rep4
S45	WT	T24	batch1	rep5
S46	BBS1	T24	batch1	rep1
S47	BBS1	T24	batch1	rep2
S48	BBS1	T24	batch1	rep3
S49	BBS1	T24	batch1	rep4
S50	BBS1	T24	batch1	rep5
S51	Light	T24	batch1	rep1
S52	Light	T24	batch1	rep2
S53	Light	T24	batch1	rep3
S54	Light	T24	batch1	rep4
S55	Light	T24	batch1	rep5
S56	Dark	T24	batch1	rep1
S57	Dark	T24	batch1	rep2
S58	Dark	T24	batch1	rep3
S59	Dark	T24	batch1	rep4
S60	Dark	T24	batch1	rep5
S61	WT	T72	batch1	rep1
S63	WT	T72	batch1	rep3
S64	WT	T72	batch1	rep4
S65	WT	T72	batch1	rep5
S66	BBS1	T72	batch1	rep1
S68	BBS1	T72	batch1	rep3
S69	BBS1	T72	batch1	rep4
S70	BBS1	T72	batch1	rep5
S71	Light	T72	batch1	rep1
S72	Light	T72	batch1	rep2
S73	Light	T72	batch1	rep3
S74	Light	T72	batch1	rep4
S75	Light	T72	batch1	rep5
S76	Dark	T72	batch1	rep1
S77	Dark	T72	batch1	rep2
S78	Dark	T72	batch1	rep3
S79	Dark	T72	batch1	rep4
S80	Dark	T72	batch1	rep5
